item_URI,short_ID,lccn,title,image_URL_large
http://www.loc.gov/item/2020722343/,2020722343,2020722343,"An appropriately decorated ""Bookmobile"" bus belonging to the Perry County Public Library in Hazard, a coal town of 4,500 or so population in the hills of southeastern Kentucky",https://tile.loc.gov/storage-services/service/pnp/highsm/64000/64003v.jpg#h=768&w=1024
http://www.loc.gov/item/2016631919/,2016631919,2016631919,"Modernist stairway and bookstacks inside the Allen County Public Library in Fort Wayne, Indiana",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:41100:41101/full/pct:25/0/default.jpg#h=1448&w=2172
http://www.loc.gov/item/2015631425/,2015631425,2015631425,"The public library in Shepherdstown, West Virginia",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:31300:31350/full/pct:25/0/default.jpg#h=1228&w=1642
http://www.loc.gov/item/ok0012/,ok0012,,"Carnegie Library, 402 East Oklahoma Avenue, Guthrie, Logan County, OK",https://tile.loc.gov/storage-services/service/pnp/habshaer/ok/ok0000/ok0012/photos/129399pv.jpg#h=833&w=1024
http://www.loc.gov/item/sc0767/,sc0767,,"Carnegie Free Library, 300 East South Street, Union, Union County, SC",https://tile.loc.gov/storage-services/service/pnp/habshaer/sc/sc0700/sc0767/color/571307cv.jpg#h=745&w=1024
http://www.loc.gov/item/ri0071/,ri0071,,"Redwood Library, 50 Bellevue Avenue, Newport, Newport County, RI",https://tile.loc.gov/storage-services/service/pnp/habshaer/ri/ri0000/ri0071/photos/144412pv.jpg#h=732&w=1024
http://www.loc.gov/item/89710983/,89710983,89710983,Silence / Mabel Dwight.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b43000/3b43200/3b43255r.jpg#h=422&w=640
http://www.loc.gov/item/me0057/,me0057,,"Hubbard Free Library, 115 Second Street, Hallowell, Kennebec County, ME",https://tile.loc.gov/storage-services/service/pnp/habshaer/me/me0000/me0057/photos/088141pv.jpg#h=814&w=1024
http://www.loc.gov/item/2017686535/,2017686535,2017686535,"Public library building in the town of Antonito in Conejos County, Colorado, near the New Mexico border",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:36000:36052/full/pct:25/0/default.jpg#h=1448&w=2172
http://www.loc.gov/item/2020723718/,2020723718,2020723718,"The public library, with a creative book-themed facade, in the small city of Houston, Minnesota",https://tile.loc.gov/storage-services/service/pnp/highsm/60200/60215v.jpg#h=741&w=1024
